name,slug,value,date_of_information,ranking,region
"Bhutan","bhutan","3.20","2017 est.","45","South Asia"
"Malaysia","malaysia","3.30","2019 est.","46","East Asia/Southeast Asia"
"Netherlands","netherlands","3.41","2019 est.","47","Europe"
"Hungary","hungary","3.45","2019 est.","48","Europe"
"Mexico","mexico","3.49","2019 est.","49","North America"
"Bahrain","bahrain","3.60","2017 est.","50","Middle East"
"Iceland","iceland","3.62","2019 est.","51","Europe"
"China","china","3.64","2019 est.","52","East Asia/Southeast Asia"
"Andorra","andorra","3.70","2016 est.","53","Europe"
"Norway","norway","3.72","2019 est.","54","Europe"
"Taiwan","taiwan","3.73","2019 est.","55","East Asia/Southeast Asia"
"Korea, South","korea-south","3.76","2019 est.","56","East Asia/Southeast Asia"
"United States","united-states","3.89","2018 est.","57","North America"
"Bolivia","bolivia","4.00","2017 est.","58","South America"
"Burma","burma","4.00","2017 est.","59","East Asia/Southeast Asia"
"Cayman Islands","cayman-islands","4.00","2008","60","Central America"
"Jersey","jersey","4.00","2015 est.","61","Europe"
"New Zealand","new-zealand","4.13","2019 est.","62","Australia - Oceania"
"Cameroon","cameroon","4.30","2014 est.","63","Africa"
"Bangladesh","bangladesh","4.40","2017 est.","64","South Asia"
"Israel","israel","4.40","2020 est.","65","Middle East"
"Timor-Leste","timor-leste","4.40","2014 est.","66","East Asia/Southeast Asia"
"Fiji","fiji","4.50","2017 est.","67","Australia - Oceania"
"Guam","guam","4.50","2017 est.","68","Australia - Oceania"
"Saint Kitts and Nevis","saint-kitts-and-nevis","4.50","1997","69","Central America"
"Russia","russia","4.60","2019 est.","70","Central Asia"
"Kazakhstan","kazakhstan","4.80","2019 est.","71","Central Asia"
"Sri Lanka","sri-lanka","4.83","2019 est.","72","South Asia"
"Trinidad and Tobago","trinidad-and-tobago","4.90","2017 est.","73","Central America"
"Estonia","estonia","4.94","2019 est.","74","Europe"
"Ireland","ireland","4.98","2019 est.","75","Europe"
"Germany","germany","4.98","2019 est.","76","Europe"
"Moldova","moldova","4.99","2019 est.","77","Europe"
"Slovakia","slovakia","5.00","2019 est.","78","Europe"
"Azerbaijan","azerbaijan","5.00","2017 est.","79","Middle East"
"Uzbekistan","uzbekistan","5.00","2017 est.","80","Central Asia"
"Dominican Republic","dominican-republic","5.10","2017 est.","81","Central America"
"Philippines","philippines","5.11","2019 est.","82","East Asia/Southeast Asia"
"Australia","australia","5.16","2019 est.","83","Australia - Oceania"
"Samoa","samoa","5.20","2017 est.","84","Australia - Oceania"
"Indonesia","indonesia","5.31","2018 est.","85","East Asia/Southeast Asia"
"Belgium","belgium","5.36","2019 est.","86","Europe"
"Luxembourg","luxembourg","5.36","2019 est.","87","Europe"
"Poland","poland","5.43","2019 est.","88","Europe"
"Honduras","honduras","5.60","2017 est.","89","Central America"
"Montserrat","montserrat","5.60","2017 est.","90","Central America"
"Bulgaria","bulgaria","5.66","2019 est.","91","Europe"
"Canada","canada","5.67","2019 est.","92","North America"
"Paraguay","paraguay","5.70","2017 est.","93","South America"
"Ecuador","ecuador","5.71","2019 est.","94","South America"
"Eritrea","eritrea","5.80","2017 est.","95","Africa"
"Albania","albania","5.83","2019 est.","96","Europe"
"Pakistan","pakistan","6.00","2017 est.","97","South Asia"
"Saudi Arabia","saudi-arabia","6.00","2017 est.","98","Middle East"
"Panama","panama","6.14","2018 est.","99","Central America"
"Latvia","latvia","6.14","2019 est.","100","Europe"
"Nicaragua","nicaragua","6.40","2017 est.","101","Central America"
"Comoros","comoros","6.50","2014 est.","102","Africa"
"Portugal","portugal","6.55","2019 est.","103","Europe"
"Peru","peru","6.58","2019 est.","104","South America"
"Angola","angola","6.60","2016 est.","105","Africa"
"Finland","finland","6.63","2019 est.","106","Europe"
"Mauritius","mauritius","6.65","2019 est.","107","Africa"
"Sweden","sweden","6.78","2019 est.","108","Europe"
"Brunei","brunei","6.90","2017 est.","109","East Asia/Southeast Asia"
"Central African Republic","central-african-republic","6.90","2017 est.","110","Africa"
"Togo","togo","6.90","2016 est.","111","Africa"
"Venezuela","venezuela","6.90","2018 est.","112","South America"
"Bermuda","bermuda","7.00","2017 est.","113","North America"
"El Salvador","el-salvador","7.00","2017 est.","114","Central America"
"Cyprus","cyprus","7.07","2019 est.","115","Europe"
"Chile","chile","7.22","2019 est.","116","South America"
"Austria","austria","7.35","2019 est.","117","Europe"
"Uruguay","uruguay","7.60","2017 est.","118","South America"
"Slovenia","slovenia","7.64","2019 est.","119","Europe"
"Aruba","aruba","7.70","2016 est.","120","Central America"
"Jamaica","jamaica","7.72","2019 est.","121","Central America"
"Egypt","egypt","7.86","2019 est.","122","Africa"
"Mali","mali","7.90","2017 est.","123","Africa"
"Anguilla","anguilla","8.00","2002","124","Central America"
"Mongolia","mongolia","8.00","2017 est.","125","East Asia/Southeast Asia"
"Croatia","croatia","8.07","2019 est.","126","Europe"
"Costa Rica","costa-rica","8.10","2017 est.","127","Central America"
"San Marino","san-marino","8.10","2017 est.","128","Europe"
"France","france","8.12","2019 est.","129","Europe"
"Lithuania","lithuania","8.40","2019 est.","130","Europe"
"India","india","8.50","2017 est.","131","South Asia"
"Equatorial Guinea","equatorial-guinea","8.60","2014 est.","132","Africa"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon-2","8.70","2015 est.","133","North America"
"Wallis and Futuna","wallis-and-futuna","8.80","2013 est.","134","Australia - Oceania"
"Ukraine","ukraine","8.89","2019 est.","135","Europe"
"Qatar","qatar","8.90","2017 est.","136","Middle East"
"Suriname","suriname","8.90","2017 est.","137","South America"
"Belize","belize","9.00","2017 est.","138","Central America"
"Cabo Verde","cabo-verde","9.00","2017 est.","139","Africa"
"Greenland","greenland","9.10","2015 est.","140","North America"
"Morocco","morocco","9.23","2019 est.","141","Africa"
"Cote d'Ivoire","cote-divoire","9.40","2013 est.","142","Africa"
"Uganda","uganda","9.40","2014 est.","143","Africa"
"Lebanon","lebanon","9.70","2007","144","Middle East"
"Argentina","argentina","9.84","2019 est.","145","South America"
"Italy","italy","9.88","2019 est.","146","Europe"
"Turks and Caicos Islands","turks-and-caicos-islands","10.00","1997 est.","147","Central America"
"Bahamas, The","bahamas-the","10.10","2017 est.","148","Central America"
"Barbados","barbados","10.10","2017 est.","149","Central America"
"Mauritania","mauritania","10.20","2017 est.","150","Africa"
"Tanzania","tanzania","10.30","2014 est.","151","Africa"
"Virgin Islands","virgin-islands","10.40","2017 est.","152","Central America"
"Colombia","colombia","10.50","2019 est.","153","South America"
"Puerto Rico","puerto-rico","10.80","2017 est.","154","Central America"
"Antigua and Barbuda","antigua-and-barbuda","11.00","2014 est.","155","Central America"
"Turkmenistan","turkmenistan","11.00","2014 est.","156","Central Asia"
"Guyana","guyana","11.10","2013","157","South America"
"Northern Mariana Islands","northern-mariana-islands","11.20","2010 est.","158","Australia - Oceania"
"Zimbabwe","zimbabwe","11.30","2014 est.","159","Africa"
"Algeria","algeria","11.70","2017 est.","160","Africa"
"Georgia","georgia","11.80","2016 est.","161","Middle East"
"Iran","iran","11.80","2017 est.","162","Middle East"
"Ghana","ghana","11.90","2015 est.","163","Africa"
"Brazil","brazil","11.93","2019 est.","164","South America"
"Niue","niue","12.00","2001","165","Australia - Oceania"
"Sint Maarten","sint-maarten","12.00","2012 est.","166","Central America"
"Sao Tome and Principe","sao-tome-and-principe","12.20","2017 est.","167","Africa"
"Curacao","curacao","13.00","2013 est.","168","Central America"
"Cook Islands","cook-islands","13.10","2005","169","Australia - Oceania"
"Turkey","turkey","13.68","2019 est.","170","Middle East"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","14.00","1998 est.","171","Africa"
"Serbia","serbia","14.10","2017 est.","172","Europe"
"Spain","spain","14.13","2019 est.","173","Europe"
"New Caledonia","new-caledonia","14.70","2014","174","Australia - Oceania"
"Sierra Leone","sierra-leone","15.00","2017 est.","175","Africa"
"Zambia","zambia","15.00","2008 est.","176","Africa"
"Tunisia","tunisia","15.50","2017 est.","177","Africa"
"Montenegro","montenegro","15.82","2019 est.","178","Europe"
"Iraq","iraq","16.00","2012 est.","179","Middle East"
"Micronesia, Federated States of","micronesia-federated-states-of","16.20","2010 est.","180","Australia - Oceania"
"Nigeria","nigeria","16.50","2017 est.","181","Africa"
"Greece","greece","17.30","2019 est.","183","Europe"
"Ethiopia","ethiopia","17.50","2012 est.","184","Africa"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","18.80","2008 est.","185","Central America"
"Armenia","armenia","18.90","2017 est.","186","Middle East"
"Jordan","jordan","19.10","2019 est.","187","Middle East"
"Sudan","sudan","19.60","2017 est.","188","Africa"
"Botswana","botswana","20.00","2013 est.","189","Africa"
"Saint Lucia","saint-lucia","20.00","2003 est.","190","Central America"
"Malawi","malawi","20.40","2013 est.","191","Africa"
"French Polynesia","french-polynesia","21.80","2012","192","Australia - Oceania"
"Dominica","dominica","23.00","2000 est.","193","Central America"
"Nauru","nauru","23.00","2011 est.","194","Australia - Oceania"
"Afghanistan","afghanistan","23.90","2017 est.","195","South Asia"
"Grenada","grenada","24.00","2017 est.","196","Central America"
"Mozambique","mozambique","24.50","2017 est.","197","Africa"
"Korea, North","korea-north","25.60","2013 est.","198","East Asia/Southeast Asia"
"Yemen","yemen","27.00","2014 est.","199","Middle East"
"Gaza Strip","gaza-strip","27.90","2017 est.","200","Middle East"
"West Bank","west-bank","27.90","2017 est.","201","Middle East"
"Eswatini","eswatini","28.00","2014 est.","202","Africa"
"Gabon","gabon","28.00","2015 est.","203","Africa"
"Lesotho","lesotho","28.10","2014 est.","204","Africa"
"South Africa","south-africa","28.53","2019 est.","205","Africa"
"American Samoa","american-samoa","29.80","2005","206","Australia - Oceania"
"Libya","libya","30.00","2004 est.","207","Africa"
"Kosovo","kosovo","30.50","2017 est.","208","Europe"
"Kiribati","kiribati","30.60","2010 est.","209","Australia - Oceania"
"Bosnia and Herzegovina","bosnia-and-herzegovina","33.28","2019 est.","210","Europe"
"Namibia","namibia","34.00","2016 est.","211","Africa"
"Congo, Republic of the","congo-republic-of-the","36.00","2014 est.","212","Africa"
"Marshall Islands","marshall-islands","36.00","2006 est.","213","Australia - Oceania"
"Djibouti","djibouti","40.00","2017 est.","214","Africa"
"Kenya","kenya","40.00","2013 est.","215","Africa"
"Haiti","haiti","40.60","2010 est.","216","Central America"
"Senegal","senegal","48.00","2007 est.","217","Africa"
"Syria","syria","50.00","2017 est.","218","Middle East"
"Burkina Faso","burkina-faso","77.00","2004","219","Africa"
