name,slug,value,date_of_information,ranking,region
"Zimbabwe","zimbabwe","-4.93","2021 est.","200","Africa"
"Montenegro","montenegro","-4.95","2021 est.","201","Europe"
"Greenland","greenland","-5.07","2021 est.","202","North America"
"Trinidad and Tobago","trinidad-and-tobago","-5.18","2021 est.","203","Central America"
"Dominica","dominica","-5.31","2021 est.","204","Central America"
"Latvia","latvia","-5.32","2021 est.","205","Europe"
"Armenia","armenia","-5.43","2021 est.","206","Middle East"
"El Salvador","el-salvador","-5.57","2021 est.","207","Central America"
"Svalbard","svalbard","-5.57","2021 est.","208","Europe"
"Fiji","fiji","-6.02","2021 est.","209","Australia - Oceania"
"Saint Martin","saint-martin","-6.09","2021 est.","210","Central America"
"Eswatini","eswatini","-6.26","2021 est.","211","Africa"
"Tuvalu","tuvalu","-6.46","2021 est.","212","Australia - Oceania"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","-6.82","2021 est.","213","Central America"
"Virgin Islands","virgin-islands","-7.42","2021 est.","214","Central America"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon-2","-7.52","2021 est.","215","North America"
"Sao Tome and Principe","sao-tome-and-principe","-7.57","2021 est.","216","Africa"
"Samoa","samoa","-7.82","2021 est.","217","Australia - Oceania"
"Guyana","guyana","-7.84","2021 est.","218","South America"
"Jamaica","jamaica","-7.98","2021 est.","219","Central America"
"Moldova","moldova","-8.95","2021 est.","220","Europe"
"Eritrea","eritrea","-10.84","2021 est.","221","Africa"
"Guam","guam","-10.98","2021 est.","222","Australia - Oceania"
"Nauru","nauru","-11.05","2021 est.","223","Australia - Oceania"
"Jordan","jordan","-11.17","2021 est.","224","Middle East"
"Maldives","maldives","-12.76","2021 est.","225","South Asia"
"Puerto Rico","puerto-rico","-13.00","2021 est.","226","Central America"
"Northern Mariana Islands","northern-mariana-islands","-13.67","2021 est.","227","Australia - Oceania"
"Tonga","tonga","-17.96","2021 est.","228","Australia - Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","-20.90","2021 est.","229","Australia - Oceania"
"Cook Islands","cook-islands","-28.58","2021 est.","230","Australia - Oceania"
"American Samoa","american-samoa","-32.18","2021 est.","231","Australia - Oceania"
